ID: acbcd1f7-ecfb-46de-a450-5f497d444b49 | Name: Abricot
ID: f6090831-7b04-469b-8621-b3c8f4f7c036 | Name: Ail
ID: d8bb5896-7b99-4df9-9450-2c261023ea97 | Name: Airelle
ID: 731b01a5-7583-4cbf-aa48-2f51de5d84e6 | Name: Amande fraîche
ID: 656a4822-b9ad-42e7-90aa-dfa3bda2fb61 | Name: Ananas
ID: ef7a0820-a3b9-44b4-8061-02b402db5de9 | Name: Anchois
ID: a84f6db2-f98e-44e6-9634-7278947c78c3 | Name: Arbouse
ID: 5eb66f6f-8dda-4eb7-875f-6ba55cdaf1b3 | Name: Artichaut
ID: 249027b4-648c-4968-9555-68b1136ee8d1 | Name: Asperge
ID: 87686494-87bb-4f83-8996-6cb7d14f5f32 | Name: Aubergine
ID: beca4c16-92a8-48cf-83e8-05bd8c6b1f10 | Name: Avocat
ID: 64d05bad-513f-4f69-9e78-792f15b18af0 | Name: Avoine
ID: 0def0ec6-857d-4bfa-9f73-2d5cdafa441d | Name: Banane
ID: 7519c022-69d4-4048-a586-c4e10ae522e0 | Name: Bar
ID: 886d97be-d632-4f6d-bbb3-2cff36f56814 | Name: Basilic
ID: 05146579-b4a1-4dc7-ae73-55f92f285887 | Name: Bergamote
ID: b2b61f06-69c3-4fa1-bcc5-fb2215fb5d6e | Name: Betterave rouge
ID: 34165a8a-a171-4e28-8916-aba10441843a | Name: Beurre
ID: 5b09f0fb-8615-457a-9e61-48b89b52db29 | Name: Beurre de cacahuète
ID: 11b725a3-ec50-46c8-ad19-718fb9ec1d21 | Name: Bicarbonate
ID: 979c1732-b4ab-4b21-8c3f-85b9788b489e | Name: Biscottes
ID: 521bac9f-bfef-425c-9bf7-28af3aa8fd53 | Name: Bouillon cube
ID: 5fb7052b-4190-4889-9cb5-30a164e3c245 | Name: Boulgour
ID: 9199e2ad-d3a0-41e0-b143-a14fd353f3c8 | Name: Brie
ID: 30250219-7d38-438c-8611-eb0d09a1d25f | Name: Brocoli
ID: 1c5f76ff-0e29-429b-a7d1-d68efb7af592 | Name: Brugnon
ID: 8665d43d-e919-4b65-b112-75b61a818f4c | Name: Cabillaud
ID: 7fb1def3-20c4-4f94-9568-46a509761a31 | Name: Calamar
ID: 088d619f-fa1d-4dab-a73a-225760b68ece | Name: Camembert
ID: 0c8b4e73-928b-4a7c-8801-5253237a9898 | Name: Cannelle
ID: a20c24f1-14cd-40e9-8cad-a0f547077eaa | Name: Carambole
ID: 59086ed8-8083-43ec-bf46-77c14bbca6b1 | Name: Carotte
ID: 9e85d8a6-33c8-4a8d-ac65-5e1d9195183b | Name: Cassis
ID: 4affbd15-b3fb-42d7-839f-3321f10a9e6e | Name: Cerise
ID: ada0ac7a-47fe-4c30-a836-a3de5d8f57b9 | Name: Champignon de Paris
ID: bbf7aa43-9d1d-4ceb-9b3e-442e95865b98 | Name: Chapelure
ID: b617c78e-cc91-4978-a7e9-d28340413963 | Name: Chou
ID: b3cf0270-cc15-40ab-84ed-28c5fcaa80f8 | Name: Chou de Bruxelles
ID: 983081ef-6bde-4f98-b3bd-d31a9f740705 | Name: Chou-fleur
ID: a9ff9ded-ff25-4c7b-b190-2501b33ee0b9 | Name: Châtaigne
ID: 8fac03a1-6287-445c-89f2-6371bcbe1c17 | Name: Chèvre
ID: 9ed74e55-33ec-4463-8fdd-2e9b3b347fec | Name: Citron
ID: 2e83275c-0434-46f1-b9f9-066819489075 | Name: Citron vert
ID: 59ff04d2-6497-4694-8f45-eac6bc787afb | Name: Clémentine
ID: c2e1899c-b2cd-4d69-8856-51cbb44f2660 | Name: Coing
ID: 08e63ec6-57eb-475b-a1cd-a83686ac11de | Name: Comté
ID: 660257ee-15cd-436d-a8c7-212116163892 | Name: Concentré de tomate
ID: b1e4eaf8-9b3d-43b5-a0b9-d39020d834e2 | Name: Concombre
ID: c5104a0d-5049-41e8-8f14-c1cf54a82f43 | Name: Confiture
ID: d6360c48-a733-4337-86df-ce34767226f0 | Name: Confiture d'abricot
ID: 9ecb968f-87fd-4e3f-8041-05c19eaa9469 | Name: Confiture de fraise
ID: 528e059b-b13a-4eed-9f7e-8471b1ce96da | Name: Coquilles Saint-Jacques
ID: 4ee3b3d2-5c70-45c1-9b4c-02308851015f | Name: Coriandre
ID: 4ff9be9a-017f-419c-8be2-2f39d7704aaa | Name: Cornichons
ID: 3e00e998-fc47-417e-bb94-288c063a0f6b | Name: Cornouille
ID: 1721fd32-afe7-491c-90fa-d84ae6873fb9 | Name: Coulis de tomate
ID: c8ef20ae-8d50-4422-b4d0-b01f52fccfc6 | Name: Courge
ID: 44dab5ef-121a-4e4e-8cf2-504adf2b2975 | Name: Courgette
ID: 08cb4186-caf0-4c9c-b87c-4c1a4e2f5663 | Name: Crabe
ID: a39a73a6-fe39-409c-b302-f7df5017773a | Name: Crackers
ID: 2be584ae-66a0-4f70-83d0-b07044f0429c | Name: Crevettes
ID: 958038a7-4161-4247-91c4-606a85f3cc2b | Name: Crème fraîche
ID: 6b8293cf-de44-4bc2-984f-44caf7519dbe | Name: Crème liquide
ID: e866718f-57ea-4867-883c-c41adf37f061 | Name: Cumin
ID: 3e9e759a-e2de-4c4b-a458-8ea4457c5e33 | Name: Curry
ID: 080997e8-89ea-47f9-9652-cb9561e7aa0c | Name: Cynorrhodon
ID: 7a368c46-24de-44e6-820b-9b79ee4a8912 | Name: Câpres
ID: 64b28e94-a779-4634-8501-c6085a42f63f | Name: Cèpe
ID: c1006366-a1b9-4ff8-9551-085f5a0fffde | Name: Cédrat
ID: d4b41e31-44b9-4c1c-86fe-83a94d52c099 | Name: Céleri-branche
ID: 5b27fd4e-e3d5-4590-b833-b9b499a31275 | Name: Céréales
ID: f90d0cc1-bcbe-4109-9a5b-ccd80bf36e33 | Name: Datte fraîche
ID: ae0ef5fd-4148-49ba-941f-f75addfcd7d4 | Name: Dorade
ID: d152b3e0-1c05-4f3c-b732-ea2154007a5e | Name: Emmental
ID: f980f813-3e3a-4d79-a566-7bb6899f7c41 | Name: Endive
ID: b09001cc-6725-47e0-bc09-2976dcd3354b | Name: Farine
ID: 9bd587e4-b469-49dd-b6f6-9095f09fc2ab | Name: Farine complète
ID: 2bd3e324-6c22-4827-9d0f-178c9985ef5e | Name: Fenouil
ID: 7012ed1d-bc23-46fc-8144-2c743b730766 | Name: Feta
ID: 610f300e-5687-4d3d-a550-360df6ba2512 | Name: Figue
ID: c59df14b-200a-4519-9a5f-2fc7f4eafc0d | Name: Figue de Barbarie
ID: 42d921b7-9728-4a1b-b0d0-8fdf7f135931 | Name: Flageolets
ID: 88b34ac1-0e6c-4cef-8632-8f461cc16937 | Name: Flocons d'avoine
ID: 85a4194a-6e40-4fd8-a349-1089b35903bd | Name: Fond de volaille
ID: 0e721c4b-afee-4461-b427-cf89d5a75298 | Name: Fraise
ID: a8e6a1a2-73d5-48f9-963c-744a918b22e2 | Name: Fraise des bois
ID: 02721fe3-1807-4403-a1b7-448a64dcb13d | Name: Framboise
ID: 5e13795f-ead2-49ae-ace5-ce4bc8363722 | Name: Fromage blanc
ID: 4c0c609a-d5f5-4a32-8131-46ec87a14f71 | Name: Fromage râpé
ID: f8f15e84-f70e-415f-9de8-485097b6e1ff | Name: Fruit de la passion
